ID,Age,Overall,Potential,Value,Wage,Special,International Reputation,Weak Foot,Skill Moves,Work Rate,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Preferred Foot,Body Type,Position
182493,32,90,90,44000000,125000,1946,3,3,2,5,6.2,172,67,67,67,64,65,65,65,64,65,65,65,66,71,71,71,66,79,84,84,84,79,82,90,90,90,82,55,42,92,79,47,53,49,51,70,76,68,68,58,85,54,67,91,66,88,43,89,88,48,52,50,82,90,89,89,6,8,15,5,15,Right,Lean,DF
168542,32,90,90,60000000,285000,2115,4,2,4,7,5.8,148,80,80,80,88,87,87,87,88,90,90,90,88,88,88,88,88,72,73,73,73,72,67,60,60,60,67,84,76,54,93,82,89,82,77,87,94,70,64,92,90,90,72,64,78,52,75,57,50,89,92,75,93,59,53,29,6,15,7,6,12,Left,Normal,MF
215914,27,89,90,63000000,225000,2189,3,3,2,5,5.6,159,75,75,75,80,80,80,80,80,82,82,82,82,85,85,85,82,88,90,90,90,88,87,86,86,86,87,68,65,54,86,56,79,49,49,81,80,82,78,82,93,92,71,77,96,76,69,90,92,71,79,54,85,90,91,85,15,12,10,7,10,Right,Lean,DM
211110,24,89,94,89000000,205000,2092,3,3,4,7,5.1,165,86,86,86,90,89,89,89,90,90,90,90,89,82,82,82,89,65,61,61,61,65,59,48,48,48,59,82,84,68,87,88,92,88,88,75,92,87,83,91,86,85,82,75,80,65,88,48,32,84,87,86,84,23,20,20,5,4,4,5,8,Left,Normal,ST
202126,24,89,91,83500000,205000,2165,3,4,3,8,6.2,196,89,89,89,85,87,87,87,85,85,85,85,84,82,82,82,84,68,69,69,69,68,65,63,63,63,65,75,94,85,80,84,80,78,68,82,84,68,72,71,91,71,88,78,89,84,85,76,35,93,80,90,89,56,36,38,8,10,11,14,11,Right,Normal,ST
194765,27,89,90,78000000,145000,2246,4,3,4,8,5.9,161,89,89,89,90,90,90,90,90,89,89,89,89,83,83,83,89,73,70,70,70,73,70,64,64,64,70,82,90,84,83,87,88,84,78,76,90,88,85,90,90,80,80,90,83,62,82,69,35,91,83,79,87,59,47,48,14,8,14,13,14,Left,Lean,AM
189511,29,89,89,51500000,315000,2065,4,3,3,4,6.2,168,74,74,74,77,79,79,79,77,82,82,82,79,86,86,86,79,82,89,89,89,82,81,85,85,85,81,62,67,68,89,44,80,66,68,82,88,50,52,66,87,52,61,66,86,77,54,85,87,77,87,60,90,90,86,80,5,8,13,9,13,Right,Lean,DM
179813,31,89,89,60000000,200000,2161,4,4,3,8,6.1,170,88,88,88,84,86,86,86,84,83,83,83,82,78,78,78,82,70,68,68,68,70,68,66,66,66,68,70,89,89,78,90,80,77,76,52,82,75,76,77,91,59,87,88,92,78,79,84,48,93,77,85,82,52,45,39,12,5,13,13,10,Right,Lean,ST
153079,30,89,89,64500000,300000,2107,4,4,4,7,5.8,154,89,89,89,89,90,90,90,89,88,88,88,86,79,79,79,86,61,59,59,59,61,56,50,50,50,56,70,93,77,81,85,89,82,73,64,89,88,80,86,90,91,88,81,76,73,83,65,24,92,83,83,90,30,20,12,13,15,6,11,14,Right,Stocky,ST
138956,33,89,89,27000000,215000,1841,4,3,2,5,6.2,187,61,61,61,57,58,58,58,57,57,57,57,59,63,63,63,59,77,79,79,79,77,80,89,89,89,80,58,33,83,59,45,58,60,31,59,57,63,75,54,82,55,78,89,65,89,49,92,88,28,50,50,84,93,93,90,3,3,2,4,3,Left,Normal,DF
231747,19,88,95,81000000,100000,2118,3,4,5,7,5.1,161,88,88,88,90,90,90,90,90,89,89,89,89,81,81,81,89,69,65,65,65,69,65,57,57,57,65,77,88,77,82,78,90,77,63,73,91,96,96,92,87,83,79,75,83,71,78,62,38,88,82,70,86,34,34,32,13,5,7,11,6,Right,Lean,MF
209331,26,88,89,69500000,255000,2146,3,3,4,7,5.9,157,86,86,86,90,89,89,89,90,89,89,89,89,83,83,83,89,73,69,69,69,73,69,60,60,60,69,78,90,59,82,73,89,83,60,72,88,94,91,91,91,88,77,68,84,70,83,63,55,90,82,61,91,38,43,41,14,14,9,11,14,Left,Normal,MF
200145,26,88,90,59500000,285000,2170,3,3,2,5,6.1,185,75,75,75,72,76,76,76,72,77,77,77,74,83,83,83,74,81,88,88,88,81,82,88,88,88,82,52,59,76,85,53,69,59,74,82,78,59,65,62,84,66,86,88,87,89,79,87,87,69,77,66,84,88,90,87,13,14,16,12,12,Right,Normal,DM
198710,26,88,89,69500000,315000,2171,4,3,4,4,5.11,172,83,83,83,87,86,86,86,87,88,88,88,86,84,84,84,86,72,71,71,71,72,68,61,61,61,68,90,83,62,89,90,85,89,86,83,90,73,67,83,85,76,86,54,70,68,92,64,55,80,89,81,87,52,41,44,15,15,15,5,14,Left,Normal,AM
198219,27,88,88,62000000,165000,2017,3,3,4,7,5.4,130,81,81,81,89,88,88,88,89,89,89,89,89,81,81,81,89,66,61,61,61,66,61,47,47,47,61,86,77,56,85,74,90,87,77,78,93,94,86,94,83,93,75,53,75,44,84,34,26,83,87,61,83,51,24,22,8,4,14,9,10,Right,Normal,AM
197781,26,88,91,73500000,315000,2137,3,3,4,7,5.9,174,79,79,79,87,86,86,86,87,89,89,89,86,86,86,86,86,75,76,76,76,75,71,66,66,66,71,75,79,55,89,65,94,88,76,83,95,75,69,87,77,90,69,64,70,59,87,58,64,78,89,76,86,60,64,51,10,8,12,15,6,Right,Normal,AM
190460,26,88,91,73500000,205000,2117,3,5,4,7,5.11,168,82,82,82,87,87,87,87,87,89,89,89,88,88,88,88,88,74,74,74,74,74,69,60,60,60,69,88,80,52,91,77,84,86,87,88,91,75,73,79,88,81,84,50,92,58,89,46,56,83,91,67,88,59,57,22,9,14,7,7,6,Right,Lean,AM
189242,26,88,89,69500000,340000,2175,3,4,5,8,5.8,150,82,82,82,89,88,88,88,89,90,90,90,88,86,86,86,88,74,73,73,73,74,70,61,61,61,70,79,79,48,88,75,91,91,86,83,92,89,75,92,83,93,83,59,79,61,93,59,49,84,90,70,85,55,54,47,12,7,9,14,6,Right,Normal,AM
188567,29,88,88,59000000,265000,2069,3,4,4,3,6.2,176,87,87,87,86,86,86,86,86,84,84,84,84,76,76,76,84,67,61,61,61,67,64,55,55,55,64,77,88,79,77,86,79,80,74,64,82,93,95,76,87,70,82,79,76,76,79,43,48,90,77,76,86,27,25,36,6,9,15,9,9,Right,Lean,MF
178603,29,88,88,46000000,160000,2038,4,3,3,7,6.3,203,72,72,72,71,72,72,72,71,74,74,74,73,80,80,80,73,81,86,86,86,81,83,88,88,88,83,64,55,87,81,60,68,65,53,85,81,53,64,63,87,60,71,68,66,84,51,69,92,56,79,68,91,88,90,88,15,6,10,5,6,Right,Normal,DF
176676,30,88,88,43000000,285000,2279,4,4,5,6,5.9,176,83,83,83,87,86,86,86,87,87,87,87,88,87,87,87,88,88,86,86,86,88,87,84,84,84,87,90,70,75,84,54,90,85,67,76,92,83,82,86,88,86,83,76,91,78,70,84,85,85,82,59,86,71,85,86,12,5,5,5,9,Left,Normal,DF
173731,28,88,88,60000000,355000,2279,4,3,4,7,6.1,181,89,89,89,89,89,89,89,89,88,88,88,88,83,83,83,88,76,73,73,73,76,74,70,70,70,74,87,86,84,85,85,87,90,87,80,85,94,95,82,85,65,92,87,75,80,91,65,59,85,79,76,86,54,55,52,15,15,11,5,6,Left,Lean,ST
167664,30,88,88,57000000,245000,1965,4,4,3,7,6.1,196,88,88,88,84,86,86,86,84,83,83,83,81,74,74,74,81,58,56,56,56,58,54,51,51,51,54,68,92,80,75,90,84,74,62,59,85,73,73,75,86,69,86,79,70,85,80,50,20,92,74,70,86,35,22,18,5,12,7,5,10,Right,Normal,ST
164240,33,88,88,24000000,165000,2077,4,3,2,5,6,181,69,69,69,69,70,70,70,69,73,73,73,72,78,78,78,72,81,85,85,85,81,83,87,87,87,83,60,38,81,80,63,62,61,64,80,80,70,72,68,82,68,71,90,74,82,68,76,89,59,72,60,81,88,89,85,9,12,5,9,10,Right,Normal,DF
205600,24,87,92,57000000,205000,2147,3,3,2,5,6,165,73,73,73,72,72,72,72,72,72,72,72,73,76,76,76,73,83,84,84,84,83,84,87,87,87,84,69,51,79,81,70,69,72,62,73,77,71,73,68,82,66,83,89,78,84,74,81,87,58,58,61,82,90,89,86,15,10,14,12,15,Left,Normal,DF
201399,25,87,90,64500000,130000,1940,3,4,3,3,5.11,165,87,87,87,79,84,84,84,79,79,79,79,77,71,71,71,77,57,56,56,56,57,55,54,54,54,55,46,91,91,73,85,77,58,45,54,81,77,78,76,88,76,84,94,72,76,70,56,22,92,64,82,85,45,24,20,13,9,5,7,9,Right,Normal,ST
201024,27,87,90,51000000,115000,1660,3,3,2,8,6.2,196,55,55,55,54,55,55,55,54,55,55,55,58,61,61,61,58,74,78,78,78,74,78,87,87,87,78,30,19,81,66,14,66,28,28,56,60,68,75,50,80,40,55,81,71,94,15,87,88,24,43,33,78,91,88,86,7,11,7,13,5,Right,Normal,DF
195864,25,87,91,64000000,210000,2247,4,4,5,6,6.4,185,84,84,84,85,85,85,85,85,86,86,86,86,87,87,87,86,80,81,81,81,80,78,77,77,77,78,80,73,73,86,85,87,84,82,90,90,71,79,74,81,64,90,83,88,89,81,78,66,81,87,81,87,66,70,68,5,6,2,4,3,Right,Normal,DM
192505,25,87,89,62500000,230000,2031,3,3,3,4,6.3,207,87,87,87,82,84,84,84,82,81,81,81,82,75,75,75,82,63,61,61,61,63,60,57,57,57,60,78,87,86,77,79,80,74,66,73,72,77,90,60,86,46,88,71,84,94,74,75,27,89,76,78,83,30,30,30,8,15,14,7,10,Left,Stocky,ST
192387,28,87,87,52000000,115000,2009,3,4,3,7,6.1,187,87,87,87,82,85,85,85,82,81,81,81,80,73,73,73,80,63,61,61,61,63,61,58,58,58,61,55,90,81,74,87,83,70,51,49,83,78,85,77,87,63,86,77,80,76,80,77,40,91,65,78,81,34,33,32,6,8,15,12,6,Right,Normal,ST
189332,29,87,87,38000000,250000,2230,3,3,3,7,5.7,150,79,79,79,84,82,82,82,84,82,82,82,85,82,82,82,85,87,83,83,83,87,87,81,81,81,87,87,73,70,84,60,80,80,63,74,84,93,93,90,83,85,64,81,91,61,66,75,84,79,70,59,79,72,84,85,13,15,13,6,13,Left,Normal,DF
175943,31,87,87,45000000,135000,2043,3,4,4,6,5.7,134,81,81,81,89,88,88,88,89,89,89,89,88,81,81,81,88,68,63,63,63,68,63,49,49,49,63,77,86,35,82,70,91,82,79,74,89,93,85,94,88,92,80,60,75,42,81,59,36,87,83,79,81,25,40,40,7,10,8,10,4,Right,Normal,ST
172871,31,87,87,34000000,155000,2079,3,3,3,8,6.2,190,72,72,72,71,72,72,72,71,73,73,73,73,77,77,77,73,82,84,84,84,82,83,87,87,87,83,68,56,80,79,52,71,58,73,74,76,61,65,61,84,60,80,85,75,79,66,84,89,60,68,66,83,90,87,88,6,10,9,12,7,Left,Normal,DF
171877,30,87,87,46500000,125000,2188,3,5,3,7,6,174,84,84,84,85,86,86,86,85,87,87,87,85,87,87,87,85,80,81,81,81,80,78,75,75,75,78,78,79,74,88,79,86,80,72,83,87,69,68,76,88,66,82,71,84,67,83,56,72,88,86,70,84,75,73,62,8,6,4,14,14,Right,Normal,MF
168651,30,87,87,46500000,260000,2184,4,3,3,8,6,172,80,80,80,83,84,84,84,83,85,85,85,84,87,87,87,84,80,82,82,82,80,78,73,73,73,78,84,83,58,87,80,84,88,84,90,87,66,59,72,77,66,84,39,84,66,90,67,75,79,86,82,81,72,74,70,14,11,12,5,9,Right,Normal,MF
152729,31,87,87,34000000,240000,1950,4,3,2,7,6.4,187,71,71,71,67,69,69,69,67,70,70,70,69,76,76,76,69,78,84,84,84,78,80,86,86,86,80,57,64,83,81,57,59,58,43,80,78,49,60,58,84,36,62,74,65,83,51,72,88,58,62,69,86,91,86,84,10,11,14,15,8,Right,Normal,DF
222492,22,86,92,61000000,195000,2090,2,3,4,7,6,165,84,84,84,86,86,86,86,86,84,84,84,85,76,76,76,85,67,61,61,61,67,63,54,54,54,63,83,81,72,79,85,88,82,68,64,85,93,96,88,81,81,86,64,79,70,78,61,34,84,82,71,78,36,32,35,8,12,9,9,14,Left,Lean,AM
218667,23,86,91,59500000,180000,2039,2,3,4,7,5.8,141,77,77,77,86,84,84,84,86,86,86,86,86,82,82,82,86,70,67,67,67,70,65,55,55,55,65,85,75,51,85,69,92,83,67,79,91,84,74,90,82,88,70,50,78,48,72,58,49,83,86,68,85,49,44,35,9,10,14,12,9,Left,Lean,AM
208722,26,86,87,52000000,195000,2110,3,4,4,7,5.9,152,84,84,84,87,87,87,87,87,86,86,86,86,80,80,80,86,69,66,66,66,69,65,58,58,58,65,73,84,62,79,71,87,74,64,71,86,95,93,91,86,86,82,75,84,67,74,73,35,87,82,71,80,42,42,38,10,10,15,7,14,Right,Lean,MF
203376,26,86,88,44500000,165000,2046,3,3,2,4,6.4,203,71,71,71,68,69,69,69,68,70,70,70,70,74,74,74,70,79,83,83,83,79,81,88,88,88,81,53,52,82,76,45,70,60,70,78,73,74,77,61,85,49,81,85,71,92,64,81,86,41,59,62,83,88,89,84,13,10,13,11,11,Right,Normal,DF
202652,23,86,89,56500000,195000,2036,3,3,4,7,5.7,152,79,79,79,87,86,86,86,87,86,86,86,87,80,80,80,87,72,66,66,66,72,69,55,55,55,69,77,77,38,84,67,88,70,63,69,87,95,92,93,87,93,73,57,78,52,73,38,30,87,77,69,77,47,58,54,15,12,12,15,9,Right,Lean,AM
201942,26,86,87,53000000,195000,2187,3,4,4,8,5.11,168,86,86,86,86,87,87,87,86,87,87,87,86,85,85,85,86,75,76,76,76,75,72,70,70,70,72,72,87,77,86,81,87,80,65,75,88,78,77,80,86,81,81,81,90,74,76,73,58,87,85,72,87,60,64,42,8,11,9,6,10,Right,Lean,AM
201535,25,86,91,50000000,210000,1895,3,3,2,5,6.3,179,65,65,65,64,66,66,66,64,67,67,67,67,72,72,72,67,78,82,82,82,78,81,86,86,86,81,36,40,83,75,42,57,46,54,76,77,83,85,63,83,40,52,79,73,84,53,77,82,44,56,43,82,87,88,87,11,11,9,5,14,Right,Lean,DF
199556,25,86,89,55000000,135000,2149,3,4,4,5,5.5,132,72,72,72,81,80,80,80,81,84,84,84,83,87,87,87,83,83,86,86,86,83,81,79,79,79,81,72,60,55,90,64,90,73,64,89,88,69,62,87,85,94,56,64,77,52,58,89,84,71,87,64,93,78,83,80,12,12,15,15,10,Right,Normal,MF
191043,27,86,86,36500000,160000,2198,3,3,3,8,5.11,176,77,77,77,80,78,78,78,80,79,79,79,81,80,80,80,81,86,84,84,84,86,86,84,84,84,86,84,55,76,81,68,80,78,59,71,81,83,86,79,84,78,80,79,92,79,72,82,82,70,70,60,82,81,84,84,7,7,9,12,5,Left,Normal,DF
190483,27,86,86,46500000,175000,2111,3,3,5,7,5.8,154,80,80,80,88,86,86,86,88,87,87,87,87,81,81,81,87,72,66,66,66,72,67,56,56,56,67,84,67,50,84,76,92,84,78,68,91,97,93,93,84,91,86,61,78,63,80,55,48,76,84,77,84,45,38,34,13,15,9,12,5,Left,Normal,MF
189596,28,86,86,45000000,135000,2097,4,4,3,8,6.1,165,85,85,85,84,85,85,85,84,85,85,85,84,82,82,82,84,71,69,69,69,71,69,62,62,62,69,79,87,82,83,84,75,81,59,72,82,73,75,75,91,72,78,81,87,68,80,57,58,92,85,60,83,44,41,44,6,7,11,14,14,Right,Lean,AM
189509,27,86,86,45500000,130000,2190,3,3,5,4,5.9,154,78,78,78,85,84,84,84,85,87,87,87,85,87,87,87,85,79,80,80,80,79,76,70,70,70,76,72,69,54,90,90,90,85,77,87,90,78,69,90,84,86,75,75,75,59,79,57,78,79,86,75,85,67,63,65,6,11,7,9,13,Right,Normal,MF
188350,29,86,86,43500000,100000,2172,4,4,4,7,5.11,157,85,85,85,88,88,88,88,88,88,88,88,87,82,82,82,87,71,67,67,67,71,67,57,57,57,67,79,87,49,86,90,87,89,84,75,86,86,85,86,87,81,88,70,73,67,86,49,50,88,86,89,84,47,36,45,12,12,13,13,11,Right,Lean,MF
184432,28,86,86,35000000,175000,2114,3,3,2,4,5.1,168,70,70,70,74,73,73,73,74,75,75,75,77,80,80,80,77,86,86,86,86,86,87,86,86,86,87,81,46,76,81,51,69,68,58,80,77,76,76,72,88,73,68,76,87,71,60,82,89,62,74,66,78,88,90,86,13,9,10,6,5,Right,Normal,DF
184344,31,86,86,30000000,160000,1978,3,3,2,2,6.3,187,68,68,68,66,68,68,68,66,71,71,71,68,77,77,77,68,77,85,85,85,77,79,87,87,87,79,44,48,86,77,58,69,56,61,85,75,57,65,60,84,52,74,85,71,83,65,82,90,38,74,70,86,90,86,80,2,2,3,2,4,Right,Lean,DF
184087,29,86,87,39000000,150000,2047,3,3,2,4,6.1,179,69,69,69,68,69,69,69,68,71,71,71,71,78,78,78,71,81,85,85,85,81,82,87,87,87,82,64,45,82,79,38,62,63,69,85,74,61,66,60,86,50,78,84,74,79,65,80,87,58,67,58,81,90,91,86,16,6,14,16,14,Right,Normal,DF
180206,28,86,86,44000000,180000,2182,3,4,3,4,5.1,159,75,75,75,82,81,81,81,82,84,84,84,83,86,86,86,83,81,83,83,83,81,79,76,76,76,79,80,60,60,89,72,86,86,92,85,89,66,66,77,84,79,78,61,78,66,82,70,78,70,88,79,86,75,74,70,7,7,13,7,8,Right,Normal,DM
177509,31,86,86,30000000,160000,1803,3,3,2,5,6.2,207,64,64,64,60,61,61,61,60,60,60,60,63,65,65,65,63,76,79,79,79,76,78,87,87,87,78,45,47,83,65,44,64,34,27,65,64,65,75,59,82,53,66,85,69,91,24,86,86,38,47,41,82,89,87,85,7,4,8,7,11,Right,Normal,DF
176635,29,86,86,43500000,190000,1911,4,2,4,3,5.11,168,78,78,78,85,84,84,84,85,87,87,87,85,81,81,81,85,60,59,59,59,60,55,43,43,43,55,83,73,54,89,80,84,84,77,82,90,72,69,79,84,70,70,48,69,57,75,48,24,83,91,67,82,24,16,19,6,14,10,6,14,Left,Lean,AM
135507,33,86,86,18000000,185000,2183,3,4,3,5,5.1,148,77,77,77,78,79,79,79,78,80,80,80,79,83,83,83,79,82,86,86,86,82,82,84,84,84,82,68,69,63,85,74,77,70,72,81,82,68,67,72,86,78,83,76,79,76,78,87,88,70,75,61,79,85,85,80,12,11,5,13,7,Right,Lean,DM
41,34,86,86,21500000,21000,2058,4,4,4,7,5.7,150,77,77,77,85,84,84,84,85,88,88,88,85,86,86,86,85,74,76,76,76,74,71,66,66,66,71,77,70,54,90,74,90,80,70,85,92,70,67,79,86,84,65,47,55,58,71,58,66,81,93,71,89,67,57,56,6,13,6,13,7,Right,Normal,ST
232363,23,85,92,46500000,82000,1800,1,4,2,5,6.2,176,59,59,59,58,59,59,59,58,60,60,60,62,67,67,67,62,75,80,80,80,75,78,85,85,85,78,40,42,80,70,40,59,34,30,68,67,70,73,48,81,48,50,78,77,83,30,86,86,30,57,56,80,92,88,82,10,13,12,8,12,Right,Normal,DF
223848,23,85,90,50500000,73000,2206,2,4,4,7,6.3,168,83,83,83,81,83,83,83,81,84,84,84,82,85,85,85,82,79,82,82,82,79,78,81,81,81,78,64,80,86,85,74,86,78,75,85,87,68,70,66,80,59,83,85,85,88,80,73,78,79,85,56,82,75,77,72,7,10,7,16,7,Right,Normal,MF
220834,22,85,92,54000000,215000,2050,3,3,4,7,6,168,82,82,82,86,86,86,86,86,86,86,86,86,82,82,82,86,69,66,66,66,69,65,54,54,54,65,82,82,50,83,79,86,83,76,82,85,85,82,79,82,76,86,58,76,61,88,45,45,82,84,62,83,40,42,39,13,9,6,12,10,Left,Normal,AM
216594,24,85,89,50000000,92000,2102,3,3,4,7,5.8,165,82,82,82,87,86,86,86,87,86,86,86,86,80,80,80,86,65,63,63,63,65,60,53,53,53,60,83,82,49,83,77,90,81,79,75,89,79,79,90,80,91,84,69,80,82,82,73,28,81,81,81,89,31,37,25,15,9,8,14,15,Left,Stocky,AM
212622,23,85,88,40500000,92000,2185,3,4,3,6,5.9,154,78,78,78,82,81,81,81,82,82,82,82,84,84,84,84,84,84,83,83,83,84,83,80,80,80,83,90,66,74,85,61,80,81,61,80,85,78,68,84,85,83,75,79,85,65,69,74,79,80,79,44,82,75,81,79,8,15,7,15,15,Right,Lean,MF
208421,23,85,90,50500000,77000,2196,3,4,3,8,6,170,83,83,83,82,84,84,84,82,84,84,84,83,85,85,85,83,81,83,83,83,81,81,81,81,81,81,69,78,83,85,76,83,72,60,83,85,74,73,76,82,69,78,79,86,77,79,69,78,82,82,55,83,77,79,76,7,13,12,10,9,Left,Lean,MF
204485,27,85,85,40500000,205000,2031,3,4,5,4,5.1,148,80,80,80,87,85,85,85,87,86,86,86,86,80,80,80,86,66,62,62,62,66,60,50,50,50,60,81,80,48,82,72,91,84,78,76,90,88,83,93,77,88,79,61,76,54,81,48,39,80,81,73,86,45,31,18,15,9,13,11,6,Left,Lean,AM
197445,26,85,87,38000000,110000,2261,4,4,3,7,5.11,168,79,79,79,81,81,81,81,81,82,82,82,82,83,83,83,82,85,84,84,84,85,85,82,82,82,85,81,63,75,82,68,79,78,84,80,83,79,86,79,84,77,83,82,87,71,82,69,84,76,77,80,79,80,82,80,5,7,14,15,9,Left,Lean,DF
193747,26,85,86,45000000,88000,2175,3,4,3,8,5.9,163,80,80,80,84,84,84,84,84,86,86,86,86,87,87,87,86,79,81,81,81,79,76,73,73,73,76,86,72,61,90,56,82,85,76,89,86,71,68,74,85,78,84,61,90,79,81,71,66,84,87,59,78,80,69,51,14,12,5,10,13,Right,Normal,MF
193301,27,85,86,45000000,180000,2060,3,4,4,8,5.9,161,85,85,85,84,86,86,86,84,84,84,84,82,77,77,77,82,65,63,63,63,65,62,57,57,57,62,64,88,73,80,81,85,74,71,59,83,81,84,85,85,85,83,76,79,73,75,70,42,86,76,84,85,29,42,30,11,6,9,5,6,Right,Normal,ST
192774,27,85,87,37500000,96000,1642,3,2,2,2,6.2,183,52,52,52,52,51,51,51,52,52,52,52,56,59,59,59,56,75,77,77,77,75,79,86,86,86,79,27,10,80,60,16,54,30,10,61,65,80,85,68,85,59,40,86,76,82,12,86,86,25,22,26,79,86,87,89,8,6,8,15,12,Right,Normal,DF
192366,30,85,85,28500000,170000,1916,3,3,2,8,6,179,67,67,67,62,64,64,64,62,65,65,65,64,70,70,70,64,75,80,80,80,75,77,85,85,85,77,52,54,85,75,57,51,50,39,72,70,57,61,64,79,62,69,92,67,80,56,91,84,51,53,45,80,83,85,84,12,5,8,11,12,Right,Normal,DF
189513,29,85,85,37000000,66000,2119,2,4,3,3,6,163,76,76,76,79,79,79,79,79,82,82,82,80,85,85,85,80,76,79,79,79,76,73,71,71,71,73,84,79,61,90,72,78,89,90,87,84,51,43,66,78,72,78,51,78,72,82,58,81,81,86,83,78,69,68,60,5,9,12,14,8,Right,Lean,MF
187961,29,85,85,37000000,235000,2245,3,3,3,8,6,157,84,84,84,82,84,84,84,82,84,84,84,82,85,85,85,82,81,84,84,84,81,81,83,83,83,81,64,81,85,84,75,82,66,72,80,84,73,73,69,84,66,83,90,92,81,80,81,81,84,78,71,80,75,81,73,16,16,11,6,8,Right,Lean,DM
